1756067190, 20m, 14076881, FT8, G0IFI, IO81LD, 223, 'Rx', OH6FSO, KP12EO72, 224, 0
1756067190, 20m, 14075241, FT8, G0IFI, IO81LD, 223, 'Rx', N3WT, FM19EJ85IT, 291, -18
1756067190, 20m, 14076091, FT8, G0IFI, IO81LD, 223, 'Rx', SP7V, JO91QQ, 269, -24
1756067190, 20m, 14074602, FT8, G0IFI, IO81LD, 223, 'Rx', R3MAJ, KO97DN, 54, -14
1756067190, 20m, 14074631, FT8, G0IFI, IO81LD, 223, 'Rx', PE2K, JO22XE, 263, -18
1756067220, 20m, 14075497, FT8, G0IFI, IO81LD, 223, 'Rx', SH5RJX, JO78HF30, 284, -17
1756067220, 20m, 14076203, FT8, G0IFI, IO81LD, 223, 'Rx', SQ8BWM, KO11EG, 269, -17
1756067220, 20m, 14075762, FT8, G0IFI, IO81LD, 223, 'Rx', DL6YDF, JO42CS, 230, -17
1756067096, 10m, 28075324, FT8, G4MSA, IO90AU, 223, 'Rx', CE3BVF, FF46LL, 112, -13
1756067142, 10m, 28076125, FT8, G4MSA, IO90AU, 223, 'Rx', DH7AGZ, JO62QI, 230, -18
1756067216, 10m, 28075858, FT8, G4MSA, IO90AU, 223, 'Rx', SP2ERZ, JO94HI, 269, -9
1756067231, 10m, 28076285, FT8, G4MSA, IO90AU, 223, 'Rx', EA2A, IN92TD, 281, 18
1756067232, 10m, 28075922, FT8, G4MSA, IO90AU, 223, 'Rx', CA3SDL, FF46LL, 112, -18
1756067232, 10m, 28074961, FT8, G4MSA, IO90AU, 223, 'Rx', KP4.WV2B, FM05CM79, 291, -18
1756067111, 20m, 14074932, FT8, M7IKK, IO91QM, 223, 'Rx', IK4ICS, JN54QN30, 248, -9
1756067156, 20m, 14075129, FT8, M7IKK, IO91QM, 223, 'Rx', LY4SC, KO26EB, 146, -18
1756067234, 20m, 14074900, FT8, M7IKK, IO91QM, 223, 'Rx', YU1JF, KN04LM, 296, -16
1756066949, 15m, 21074852, FT8, M0PMI, IO82UE, 223, 'Rx', DF4SI, JN58LL, 230, -2
1756066949, 15m, 21074526, FT8, M0PMI, IO82UE, 223, 'Rx', PT2ND, GH64BG80, 108, -17
