1756066979, 15m, 21074594, FT8, G7SLB, IO92QH, 223, 'Tx', SV1AIN, KM17VW12, 236, 1
1756067084, 15m, 21074806, FT8, M7PUC, IO81WK, 223, 'Tx', SV1AIN, KM17VW12, 236, -11
1756067099, 15m, 21075340, FT8, G4DPZ, IO82XL72, 223, 'Tx', SV1AIN, KM17VW12, 236, -9
1756067146, 15m, 21075055, FT8, G3YZO, JO02CA, 223, 'Tx', SV1AIN, KM17VW12, 236, -18
1756067189, 15m, 21075913, FT8, M7OJA, IO94HT, 223, 'Tx', SV1AIN, KM17VW12, 236, 1
1756067176, 40m, 7074372, FT8, M0ABG, JO02SF, 223, 'Tx', G8URE, IO90QU, 223, -11
1756067190, 40m, 7076219, FT8, M7NFV, JO02OQ, 223, 'Tx', G8URE, IO90QU, 223, -5
1756067246, 15m, 21074587, FT8, G6CZC, IO94EL, 223, 'Tx', S55GR, JN75OS, 499, -16
1756067246, 15m, 21075475, FT8, M0WRE, IO93CR, 223, 'Tx', S55GR, JN75OS, 499, -16
1756067174, 10m, 28074946, FT8, M0KKB, JO01MG, 223, 'Tx', EA2A, IN92TD, 281, -10
1756067187, 10m, 28074622, FT8, M1TZR, IO83WK, 223, 'Tx', EA2A, IN92TD, 281, -15
1756067247, 10m, 28076821, FT8, M6SYB, IO93HL, 223, 'Tx', EA2A, IN92TD, 281, -13
1756067247, 15m, 21075849, FT8, M7OJA, IO94HT, 223, 'Tx', PY3WW, GG40AN, 108, -17
1756067249, 15m, 21075474, FT8, M0WRE, IO93CR, 223, 'Tx', PY3WW, GG40AN, 108, -5
1756066964, 20m, 14074333, FT8, G8OO, JO02KS, 223, 'Tx', N3PPE, FM29JX20, 291, -15
1756067115, 20m, 14075794, FT8, GB5FPS, IO93TK, 223, 'Tx', N3PPE, FM29JX20, 291, -11
1756067250, 20m, 14075867, FT8, 2E0OEW, JO01FJ, 223, 'Tx', F6BPZ, JN35DS79, 227, -20
1756067220, 15m, 21075423, FT8, M1CAV, IO93LL, 223, 'Tx', DL0PF, JN68RN16, 230, -15
1756067217, 80m, 3575456, FT8, 2E0LMA, IO81VR57NN, 223, 'Tx', HB9CQK, JN47GA, 287, -6
1756066996, 20m, 14076216, FT8, M7NFV, JO02OQ, 223, 'Tx', EA4IIE, IN80BL, 281, -11
1756066996, 20m, 14075750, FT8, M0SZL, IO91UL, 223, 'Tx', EA4IIE, IN80BL, 281, -15
1756067011, 20m, 14076450, FT8, G0OSK, IO91XT, 223, 'Tx', EA4IIE, IN80BL, 281, -9
1756067056, 20m, 14076109, FT8, 2E0OEW, JO01FJ, 223, 'Tx', EA4IIE, IN80BL, 281, -12
1756067086, 40m, 7076997, FT8, G7CNF, IO81RE35, 223, 'Tx', EA4IIE, IN80BL, 281, -12
1756067236, 20m, 14076079, FT8, M7LYG, IO93, 223, 'Tx', VK2LAW, QF56NB, 150, -18
1756067250, 40m, 7075903, FT8, M0PFX, JO01DM, 223, 'Tx', IK0HTP, JN62HA75, 248, -19
1756067175, 40m, 7074372, FT8, M0ABG, JO02SF, 223, 'Tx', SK7RN, JO86HU, 284, -1
1756067190, 40m, 7075444, FT8, M7SZB, IO94FU, 223, 'Tx', SK7RN, JO86HU, 284, -12
1756067220, 40m, 7076219, FT8, M7NFV, JO02OQ, 223, 'Tx', SK7RN, JO86HU, 284, -10
1756067247, 15m, 21075499, FT8, M0WRE, IO93CR, 223, 'Tx', DK9IP, JN48EX81EB, 230, -10
1756067247, 20m, 14075274, FT8, ME7XOD, IO91, 223, 'Tx', IV3FSG, JN65SW, 248, 4
1756066965, 20m, 14076220, FT8, M7NFV, JO02OQ, 223, 'Tx', SP2SJG.4, JO93VG, 269, 7
1756066980, 20m, 14077084, FT8, G8KVM, IO83WB, 223, 'Tx', SP2SJG.4, JO93VG, 269, -19
1756067010, 20m, 14074351, FT8, G8OO, JO02KS, 223, 'Tx', SP2SJG.4, JO93VG, 269, 8
1756067010, 20m, 14076455, FT8, G0OSK, IO91XT, 223, 'Tx', SP2SJG.4, JO93VG, 269, 7
1756067025, 20m, 14074881, FT8, 2E0XDZ, IO91XC, 223, 'Tx', SP2SJG.4, JO93VG, 269, -5
1756067025, 20m, 14076113, FT8, 2E0OEW, JO01FJ, 223, 'Tx', SP2SJG.4, JO93VG, 269, -11
1756067025, 20m, 14074510, FT8, M0UNG, IO83WJ, 223, 'Tx', SP2SJG.4, JO93VG, 269, -23
1756067085, 20m, 14075893, FT8, M0SZL, IO91UL, 223, 'Tx', SP2SJG.4, JO93VG, 269, -1
1756067250, 20m, 14075967, FT8, M7HZJ, IO94ES, 223, 'Tx', UA3ZZ, KO80IO, 54, -15
1756067250, 15m, 21074448, FT8, 2E0MRK, IO91PP, 223, 'Tx', F6FLU, JN18AS33, 227, -18
1756066890, 20m, 14074606, FT8, M7HET, IO91JP, 223, 'Tx', DL0PF, JN68RN16, 230, -1
1756066905, 80m, 3574830, FT8, G6CZC, IO94EL, 223, 'Tx', DL0PF, JN68RN16, 230, -18
1756066920, 15m, 21075184, FT8, M0OOV, JO01AM, 223, 'Tx', DL0PF, JN68RN16, 230, -12
1756066950, 40m, 7075880, FT8, G7LHK, IO92CP, 223, 'Tx', DL0PF, JN68RN16, 230, 10
1756066965, 15m, 21074621, FT8, G7SLB, IO92QH, 223, 'Tx', DL0PF, JN68RN16, 230, -11
1756066965, 20m, 14076274, FT8, M7NFV, JO02OQ, 223, 'Tx', DL0PF, JN68RN16, 230, 1
1756066980, 20m, 14077138, FT8, G8KVM, IO83WB, 223, 'Tx', DL0PF, JN68RN16, 230, -21
1756067010, 20m, 14076509, FT8, G0OSK, IO91XT, 223, 'Tx', DL0PF, JN68RN16, 230, 5
1756067010, 20m, 14074405, FT8, G8OO, JO02KS, 223, 'Tx', DL0PF, JN68RN16, 230, -3
1756067025, 20m, 14074936, FT8, 2E0XDZ, IO91XC, 223, 'Tx', DL0PF, JN68RN16, 230, -4
1756067025, 20m, 14076167, FT8, 2E0OEW, JO01FJ, 223, 'Tx', DL0PF, JN68RN16, 230, -7
1756067040, 40m, 7074965, FT8, M7CWF, IO93JI, 223, 'Tx', DL0PF, JN68RN16, 230, -2
1756067070, 80m, 3574855, FT8, 2E0LOD, JO01GJ, 223, 'Tx', DL0PF, JN68RN16, 230, -20
1756067085, 40m, 7077028, FT8, G7CNF, IO81RE35, 223, 'Tx', DL0PF, JN68RN16, 230, -4
1756067085, 15m, 21076025, FT8, M0KYU, IO83VL, 223, 'Tx', DL0PF, JN68RN16, 230, -11
1756067130, 40m, 7076250, FT8, M7NFV, JO02OQ, 223, 'Tx', DL0PF, JN68RN16, 230, 4
1756067175, 20m, 14074566, FT8, M0UNG, IO83WJ, 223, 'Tx', DL0PF, JN68RN16, 230, -20
1756067175, 40m, 7074402, FT8, M0ABG, JO02SF, 223, 'Tx', DL0PF, JN68RN16, 230, -7
1756067175, 40m, 7075918, FT8, M0PFX, JO01DM, 223, 'Tx', DL0PF, JN68RN16, 230, -22
1756067175, 40m, 7076284, FT8, M7DTJ, IO83VM, 223, 'Tx', DL0PF, JN68RN16, 230, -17
1756067190, 40m, 7075474, FT8, M7SZB, IO94FU, 223, 'Tx', DL0PF, JN68RN16, 230, -15
1756067190, 20m, 14076118, FT8, M7LYG, IO93, 223, 'Tx', DL0PF, JN68RN16, 230, -10
1756067187, 20m, 14075744, FT8, M0SZL, IO91UL, 223, 'Tx', SA5IYA, JO89HJ, 284, -10
1756067189, 20m, 14076259, FT8, G1OVA, IO93GM, 223, 'Tx', SA5IYA, JO89HJ, 284, -20
1756067234, 20m, 14076066, FT8, M7LYG, IO93, 223, 'Tx', NE3Z, FM18FG, 291, -19
1756066890, 20m, 14074705, FT8, M7HET, IO91JP, 223, 'Tx', W2AXR, FN03NG, 291, -15
1756067131, 40m, 7076219, FT8, M7NFV, JO02OQ, 223, 'Tx', DL2TT, JO31LL24, 230, -10
1756067147, 15m, 21074691, FT8, G0VFB, IO82XO, 223, 'Tx', DL2TT, JO31LL24, 230, -9
1756067175, 40m, 7074372, FT8, M0ABG, JO02SF, 223, 'Tx', DL2TT, JO31LL24, 230, -8
1756067191, 40m, 7075444, FT8, M7SZB, IO94FU, 223, 'Tx', DL2TT, JO31LL24, 230, -14
1756067099, 15m, 21075276, FT8, G4DPZ, IO82XL72, 223, 'Tx', M0PMI, IO82UE, 223, -6
1756067217, 15m, 21075392, FT8, G3YZO, JO02CA, 223, 'Tx', KB2VDO, FN02JB, 291, -15
1756066949, 20m, 14075749, FT8, M0SZL, IO91UL, 223, 'Tx', JE7KJG, QN00JT, 339, -15
1756067024, 20m, 14076451, FT8, G0OSK, IO91XT, 223, 'Tx', JE7KJG, QN00JT, 339, -12
1756066978, 20m, 14075790, FT8, M0SZL, IO91UL, 223, 'Tx', SM3ULU, JP81GU, 284, -8
1756066978, 20m, 14076254, FT8, M7NFV, JO02OQ, 223, 'Tx', SM3ULU, JP81GU, 284, -10
1756067023, 20m, 14076492, FT8, G0OSK, IO91XT, 223, 'Tx', SM3ULU, JP81GU, 284, -9
1756067038, 20m, 14074918, FT8, 2E0XDZ, IO91XC, 223, 'Tx', SM3ULU, JP81GU, 284, -8
1756067099, 20m, 14074548, FT8, M0UNG, IO83WJ, 223, 'Tx', SM3ULU, JP81GU, 284, -16
